"securityId","symbol","symbolSfx","roundLot","isTestSymbol","mpv"
1,"A","",100,false,10000
2,"AA","",100,false,10000
3,"AAA","",100,false,10000
4,"AAAU","",100,false,10000
5,"AACG","",100,false,100
13048,"AACI","",100,false,10000
12202,"AACIU","",100,false,10000
13047,"AACIW","",100,false,100
15614,"AACT","",100,false,10000
15496,"AACT","U",100,false,10000
15615,"AACT","WS",100,false,10000
12303,"AADI","",100,false,10000
9,"AADR","",100,false,10000
16296,"AAGR","",100,false,100
16297,"AAGRW","",100,false,100
10,"AAL","",100,false,10000
11,"AAMC","",100,false,10000
12,"AAME","",100,false,10000
13,"AAN","",100,false,10000
14,"AAOI","",100,false,10000
15,"AAON","",100,false,10000
16,"AAP","",100,false,10000
14657,"AAPB","",100,false,10000
14658,"AAPD","",100,false,10000
17,"AAPL","",100,false,10000
16718,"AAPR","",100,false,10000
14659,"AAPU","",100,false,10000
16420,"AAPX","",100,false,10000
16142,"AAPY","",100,false,10000
18,"AAT","",100,false,10000
21,"AAXJ","",100,false,10000
23,"AB","",100,false,10000
15974,"ABAT","",100,false,10000
25,"ABBV","",100,false,10000
27,"ABCB","",100,false,10000
9663,"ABCL","",100,false,10000
16332,"ABCS","",100,false,10000
28,"ABEO","",100,false,10000
29,"ABEQ","",100,false,10000
30,"ABEV","",100,false,10000
31,"ABG","",100,false,10000
32,"ABIO","",100,false,10000
15706,"ABL","",100,false,10000
16251,"ABLLL","",100,false,10000
15707,"ABLLW","",100,false,100
15836,"ABLV","",100,false,10000
15837,"ABLVW","",100,false,100
33,"ABM","",100,false,10000
9642,"ABNB","",100,false,10000
11773,"ABOS","",100,false,10000
35,"ABR","",100,false,10000
11512,"ABR","PRD",100,false,10000
12225,"ABR","PRE",100,false,10000
12787,"ABR","PRF",100,false,10000
11989,"ABSI","",100,false,10000
39,"ABT","",100,false,10000
16233,"ABTS","",100,false,100
41,"ABUS","",100,false,10000
12112,"ABVC","",100,false,10000
16129,"ABVX","",100,false,10000
42,"AC","",100,false,10000
43,"ACA","",100,false,10000
14056,"ACAB","",100,false,10000
13680,"ACABU","",100,false,10000
14057,"ACABW","",100,false,100
9664,"ACAC","",100,false,10000
9243,"ACACU","",100,false,10000
9665,"ACACW","",100,false,10000
44,"ACAD","",100,false,10000
48,"ACB","",100,false,10000
11436,"ACBA","",100,false,10000
10965,"ACBAU","",100,false,10000
11437,"ACBAW","",100,false,10000
51,"ACCD","",100,false,10000
52,"ACCO","",100,false,10000
14965,"ACDC","",100,false,10000
53,"ACEL","",100,false,10000
55,"ACES","",100,false,10000
56,"ACET","",100,false,10000
60,"ACGL","",100,false,10000
11582,"ACGLN","",100,false,10000
61,"ACGLO","",100,false,10000
64,"ACHC","",100,false,10000
10892,"ACHL","",100,false,100
12451,"ACHR","",100,false,10000
12450,"ACHR","WS",100,false,10000
65,"ACHV","",100,false,10000
66,"ACI","",100,false,10000
9729,"ACIC","",100,false,10000
68,"ACIO","",100,false,10000
69,"ACIU","",100,false,10000
70,"ACIW","",100,false,10000
71,"ACLS","",100,false,10000
13862,"ACLX","",100,false,10000
72,"ACM","",100,false,10000
73,"ACMR","",100,false,10000
74,"ACN","",100,false,10000
75,"ACNB","",100,false,10000
14679,"ACNT","",100,false,10000
14285,"ACON","",100,false,100
14286,"ACONW","",100,false,10000
80,"ACP","",100,false,10000
11394,"ACP","PRA",100,false,10000
10316,"ACR","",100,false,10000
10317,"ACR","PRC",100,false,10000
11492,"ACR","PRD",100,false,10000
81,"ACRE","",100,false,10000
82,"ACRS","",100,false,10000
14992,"ACRV","",100,false,10000
85,"ACSI","",100,false,10000
86,"ACST","",100,false,10000
87,"ACT","",100,false,10000
89,"ACTG","",100,false,10000
9287,"ACTV","",100,false,10000
90,"ACU","",100,false,10000
91,"ACV","",100,false,10000
10784,"ACVA","",100,false,10000
9312,"ACVF","",100,false,10000
93,"ACWI","",100,false,10000
94,"ACWV","",100,false,10000
95,"ACWX","",100,false,10000
11617,"ACXP","",100,false,10000
10252,"ADAG","",100,false,10000
97,"ADAP","",100,false,10000
98,"ADBE","",100,false,10000
99,"ADC","",100,false,10000
12484,"ADC","PRA",100,false,10000
100,"ADCT","",100,false,10000
14959,"ADD","",100,false,100
14861,"ADEA","",100,false,10000
102,"ADFI","",100,false,10000
103,"ADI","",100,false,10000
104,"ADIL","",100,false,10000
10847,"ADIV","",100,false,10000
106,"ADM","",100,false,10000
107,"ADMA","",100,false,10000
108,"ADME","",100,false,10000
10197,"ADN","",100,false,100
111,"ADNT","",100,false,10000
10198,"ADNWW","",100,false,100
112,"ADP","",100,false,10000
113,"ADPT","",100,false,10000
14979,"ADPV","",100,false,10000
13878,"ADRT","",100,false,10000
13399,"ADRT","U",100,false,10000
13483,"ADSE","",100,false,10000
13481,"ADSEW","",100,false,10000
117,"ADSK","",100,false,10000
119,"ADT","",100,false,10000
13482,"ADTH","",100,false,10000
13484,"ADTHW","",100,false,100
120,"ADTN","",100,false,10000
121,"ADTX","",100,false,10000
122,"ADUS","",100,false,10000
9313,"ADV","",100,false,10000
15988,"ADVE","",100,false,10000
123,"ADVM","",100,false,10000
9314,"ADVWW","",100,false,10000
124,"ADX","",100,false,10000
125,"ADXN","",100,false,10000
127,"AE","",100,false,10000
13347,"AEAE","",100,false,10000
12911,"AEAEU","",100,false,10000
13346,"AEAEW","",100,false,100
129,"AEE","",100,false,10000
130,"AEF","",100,false,10000
131,"AEFC","",100,false,10000
132,"AEG","",100,false,10000
9197,"AEHL","",100,false,10000
134,"AEHR","",100,false,10000
10199,"AEI","",100,false,100
135,"AEIS","",100,false,10000
137,"AEL","PRA",100,false,10000
138,"AEL","PRB",100,false,10000
139,"AEM","",100,false,10000
11798,"AEMB","",100,false,10000
140,"AEMD","",100,false,10000
15692,"AENT","",100,false,10000
15693,"AENTW","",100,false,10000
141,"AEO","",100,false,10000
12735,"AEON","",100,false,10000
142,"AEP","",100,false,10000
145,"AER","",100,false,10000
16189,"AERT","",100,false,10000
16190,"AERTW","",100,false,10000
147,"AES","",100,false,10000
15350,"AESI","",100,false,10000
149,"AESR","",100,false,10000
16034,"AETH","",100,false,10000
10621,"AEVA","",100,false,10000
10622,"AEVA","WS",100,false,10000
151,"AEYE","",100,false,10000
152,"AEZS","",100,false,10000
14446,"AFAR","",100,false,10000
14223,"AFARU","",100,false,10000
14447,"AFARW","",100,false,100
153,"AFB","",100,false,10000
9999,"AFBI","",100,false,10000
10705,"AFCG","",100,false,10000
155,"AFG","",100,false,10000
156,"AFGB","",100,false,10000
157,"AFGC","",100,false,10000
158,"AFGD","",100,false,10000
159,"AFGE","",100,false,10000
162,"AFIB","",100,false,100
163,"AFIF","",100,false,10000
16454,"AFJK","",100,false,10000
16455,"AFJKR","",100,false,100
16282,"AFJKU","",100,false,10000
166,"AFK","",100,false,10000
167,"AFL","",100,false,10000
168,"AFLG","",100,false,10000
169,"AFMC","",100,false,10000
170,"AFMD","",100,false,10000
14465,"AFRI","",100,false,10000
14466,"AFRIW","",100,false,10000
9938,"AFRM","",100,false,10000
171,"AFSM","",100,false,10000
172,"AFT","",100,false,10000
173,"AFTY","",100,false,10000
174,"AFYA","",100,false,10000
175,"AG","",100,false,10000
15051,"AGAE","",100,false,100
176,"AGBA","",100,false,10000
179,"AGBAW","",100,false,100
180,"AGCO","",100,false,10000
182,"AGD","",100,false,10000
184,"AGEN","",100,false,10000
10078,"AGFY","",100,false,100
186,"AGG","",100,false,10000
13954,"AGGH","",100,false,10000
16821,"AGGS","",100,false,10000
188,"AGGY","",100,false,10000
189,"AGI","",100,false,10000
14513,"AGIH","",100,false,10000
190,"AGIO","",100,false,10000
11027,"AGL","",100,false,10000
192,"AGM","",100,false,10000
197,"AGM","A",100,false,10000
193,"AGM","PRC",100,false,10000
194,"AGM","PRD",100,false,10000
195,"AGM","PRE",100,false,10000
196,"AGM","PRF",100,false,10000
11504,"AGM","PRG",100,false,10000
198,"AGMH","",100,false,10000
16827,"AGMI","",100,false,10000
199,"AGNC","",100,false,10000
14786,"AGNCL","",100,false,10000
200,"AGNCM","",100,false,10000
201,"AGNCN","",100,false,10000
202,"AGNCO","",100,false,10000
203,"AGNCP","",100,false,10000
10914,"AGNG","",100,false,10000
204,"AGO","",100,false,10000
11314,"AGOX","",100,false,10000
208,"AGQ","",100,false,10000
16247,"AGQI","",100,false,10000
209,"AGR","",100,false,10000
14514,"AGRH","",100,false,10000
11844,"AGRI","",100,false,100
11845,"AGRIW","",100,false,100
210,"AGRO","",100,false,10000
212,"AGS","",100,false,10000
215,"AGX","",100,false,10000
216,"AGYS","",100,false,10000
217,"AGZ","",100,false,10000
